review_id,product_id,customer_id,rating,created_at
review_0,product_815,customer_3067,3,2022-02-13
review_1,product_543,customer_3982,2,2020-04-27
review_2,product_700,customer_2390,5,2022-10-28
review_3,product_569,customer_1370,1,2022-07-29
review_4,product_233,customer_3118,3,2020-03-06
review_5,product_393,customer_2946,1,2020-11-08
review_6,product_689,customer_4210,1,2020-06-08
review_7,product_889,customer_4193,2,2022-09-07
review_8,product_990,customer_3837,3,2020-09-29
review_9,product_74,customer_4542,5,2022-07-20
review_10,product_652,customer_1742,2,2021-03-22
review_11,product_516,customer_3787,3,2022-01-03
review_12,product_332,customer_2268,4,2020-03-09
review_13,product_591,customer_70,4,2022-09-28
review_14,product_919,customer_3581,3,2022-11-29
review_15,product_267,customer_2219,4,2022-08-21
review_16,product_940,customer_2098,1,2020-07-24
review_17,product_137,customer_3871,5,2022-12-10
review_18,product_802,customer_4215,3,2022-04-28
review_19,product_190,customer_1483,1,2020-07-15
review_20,product_802,customer_2545,3,2022-04-24
review_21,product_405,customer_4527,2,2022-01-17
review_22,product_580,customer_1278,5,2021-10-23
review_23,product_755,customer_3332,5,2020-06-14
review_24,product_194,customer_2021,4,2020-04-13
review_25,product_444,customer_3617,3,2021-01-06
review_26,product_414,customer_623,2,2020-08-29
review_27,product_432,customer_1725,5,2022-11-07
review_28,product_491,customer_4418,2,2020-04-17
review_29,product_300,customer_1261,3,2022-09-19
review_30,product_717,customer_4723,4,2020-10-18
review_31,product_579,customer_479,1,2021-12-07
review_32,product_162,customer_3465,2,2020-07-28
review_33,product_999,customer_574,1,2020-04-26
review_34,product_566,customer_528,2,2020-03-25
review_35,product_206,customer_2952,2,2020-01-26
review_36,product_623,customer_1703,1,2022-07-23
review_37,product_455,customer_804,4,2022-07-18
review_38,product_805,customer_1284,2,2022-02-15
review_39,product_857,customer_3733,1,2021-04-24
review_40,product_162,customer_4001,3,2021-03-23
review_41,product_858,customer_235,5,2020-05-24
review_42,product_138,customer_1707,1,2022-06-10
review_43,product_244,customer_1623,4,2022-08-21
review_44,product_371,customer_2256,4,2020-05-29
review_45,product_159,customer_722,2,2020-12-14
review_46,product_115,customer_1793,3,2021-01-28
review_47,product_398,customer_3063,5,2021-03-22
review_48,product_907,customer_3080,1,2020-06-18
review_49,product_863,customer_3826,4,2020-07-31
review_50,product_904,customer_4773,3,2020-02-09
review_51,product_359,customer_4389,1,2021-10-29
review_52,product_220,customer_2945,3,2020-02-17
review_53,product_808,customer_1952,1,2022-11-28
review_54,product_276,customer_3689,5,2021-12-25
review_55,product_758,customer_356,5,2022-02-13
review_56,product_177,customer_1032,2,2020-01-13
review_57,product_201,customer_1061,3,2021-06-07
review_58,product_233,customer_2114,3,2022-07-19
review_59,product_459,customer_1547,2,2020-03-01
review_60,product_185,customer_1875,2,2021-06-10
review_61,product_33,customer_1382,2,2022-12-18
review_62,product_200,customer_1550,1,2021-01-14
review_63,product_406,customer_1800,5,2020-06-19
review_64,product_53,customer_678,1,2020-04-12
review_65,product_355,customer_2209,2,2020-09-18
review_66,product_978,customer_2004,1,2020-05-13
review_67,product_223,customer_1662,2,2021-11-07
review_68,product_287,customer_2050,2,2022-11-22
review_69,product_563,customer_4296,5,2021-06-14
review_70,product_225,customer_4057,4,2022-08-08
review_71,product_864,customer_156,4,2021-02-07
review_72,product_233,customer_4887,3,2020-06-16
review_73,product_662,customer_3070,4,2020-06-10
review_74,product_445,customer_288,4,2020-09-10
review_75,product_193,customer_4916,1,2020-12-27
review_76,product_733,customer_1612,5,2021-06-03
review_77,product_690,customer_185,3,2020-01-15
review_78,product_148,customer_961,3,2020-10-05
review_79,product_239,customer_568,3,2022-09-03
review_80,product_867,customer_3900,1,2020-01-19
review_81,product_718,customer_2770,5,2021-01-10
review_82,product_27,customer_4491,1,2020-03-19
review_83,product_392,customer_3063,4,2021-03-25
review_84,product_196,customer_4315,2,2022-10-07
review_85,product_364,customer_4403,3,2022-05-05
review_86,product_638,customer_932,1,2022-02-16
review_87,product_6,customer_3351,5,2022-01-30
review_88,product_133,customer_3490,5,2020-07-27
review_89,product_604,customer_101,4,2021-01-02
review_90,product_988,customer_1582,4,2022-05-03
review_91,product_155,customer_2812,2,2022-04-13
review_92,product_609,customer_4669,5,2021-04-05
review_93,product_991,customer_1641,3,2022-07-06
review_94,product_598,customer_4106,2,2020-11-21
review_95,product_313,customer_4717,2,2021-07-28
review_96,product_254,customer_4102,3,2021-11-01
review_97,product_695,customer_422,4,2021-09-30
review_98,product_385,customer_3456,2,2021-09-02
review_99,product_427,customer_4659,5,2022-02-06
review_100,product_163,customer_4126,5,2021-12-12
review_101,product_390,customer_184,4,2022-04-27
review_102,product_598,customer_3819,4,2020-09-01
review_103,product_266,customer_1409,5,2021-02-12
review_104,product_311,customer_259,3,2022-09-28
review_105,product_29,customer_4364,5,2020-11-02
review_106,product_618,customer_884,1,2021-04-08
review_107,product_0,customer_1952,1,2021-06-30
review_108,product_302,customer_4050,3,2020-01-07
review_109,product_462,customer_2080,2,2022-06-07
review_110,product_862,customer_2536,2,2022-01-14
review_111,product_911,customer_3720,2,2022-10-01
review_112,product_972,customer_4290,2,2021-02-17
review_113,product_67,customer_1822,2,2020-04-04
review_114,product_171,customer_2151,4,2021-02-03
review_115,product_420,customer_2702,2,2020-05-03
review_116,product_164,customer_1281,3,2020-02-15
review_117,product_788,customer_4057,3,2022-03-17
review_118,product_84,customer_1043,2,2022-12-26
review_119,product_994,customer_907,1,2022-11-21
review_120,product_916,customer_1430,3,2022-10-29
review_121,product_945,customer_1109,1,2021-05-27
review_122,product_269,customer_4369,5,2021-01-14
review_123,product_540,customer_386,1,2020-12-03
review_124,product_226,customer_323,2,2022-11-17
review_125,product_563,customer_4876,1,2020-09-19
review_126,product_673,customer_4207,2,2021-03-13
review_127,product_657,customer_1993,2,2021-07-16
review_128,product_976,customer_588,3,2020-03-02
review_129,product_191,customer_2013,3,2022-03-11
review_130,product_809,customer_1790,1,2021-10-04
review_131,product_195,customer_4036,4,2022-05-25
review_132,product_404,customer_2858,4,2022-05-07
review_133,product_882,customer_2062,2,2020-12-02
review_134,product_46,customer_3827,1,2022-03-24
review_135,product_53,customer_513,1,2020-06-08
review_136,product_745,customer_1857,2,2022-10-04
review_137,product_792,customer_3624,1,2022-10-09
review_138,product_49,customer_20,3,2022-02-07
review_139,product_652,customer_3641,1,2022-02-15
review_140,product_301,customer_3539,1,2021-09-03
review_141,product_735,customer_617,1,2022-07-21
review_142,product_911,customer_1690,5,2022-07-06
review_143,product_77,customer_751,2,2022-06-09
review_144,product_716,customer_3815,4,2020-08-05
review_145,product_222,customer_2500,5,2022-05-20
review_146,product_841,customer_4641,3,2022-12-18
review_147,product_657,customer_3758,1,2021-09-22
review_148,product_202,customer_4185,3,2020-10-29
review_149,product_762,customer_3325,4,2022-10-02
review_150,product_577,customer_2843,2,2021-08-13
review_151,product_93,customer_2686,5,2020-04-13
review_152,product_56,customer_4329,3,2022-05-24
review_153,product_157,customer_4077,5,2020-03-20
review_154,product_929,customer_3137,2,2020-02-26
review_155,product_440,customer_3565,4,2020-03-07
review_156,product_594,customer_2318,4,2020-10-30
review_157,product_506,customer_4735,1,2022-05-08
review_158,product_833,customer_2350,3,2021-08-22
review_159,product_62,customer_3523,4,2022-12-30
review_160,product_206,customer_4875,5,2021-11-11
review_161,product_969,customer_3095,2,2022-09-22
review_162,product_695,customer_1146,2,2022-05-06
review_163,product_144,customer_2828,1,2022-12-31
review_164,product_509,customer_3349,2,2020-06-07
review_165,product_593,customer_1583,4,2020-04-16
review_166,product_448,customer_2251,2,2022-03-30
review_167,product_767,customer_4805,4,2020-11-13
review_168,product_810,customer_4261,5,2020-03-18
review_169,product_465,customer_3622,3,2021-03-28
review_170,product_173,customer_962,4,2020-02-14
review_171,product_629,customer_3962,2,2021-11-18
review_172,product_910,customer_4577,3,2021-01-15
review_173,product_833,customer_3143,4,2021-06-16
review_174,product_15,customer_4754,3,2020-05-25
review_175,product_883,customer_189,1,2020-11-22
review_176,product_37,customer_4328,4,2021-04-13
review_177,product_550,customer_4319,2,2020-02-18
review_178,product_394,customer_1041,3,2020-07-16
review_179,product_643,customer_716,2,2020-04-26
review_180,product_792,customer_4582,5,2021-12-02
review_181,product_467,customer_234,2,2022-09-20
review_182,product_983,customer_397,1,2022-07-23
review_183,product_205,customer_4988,2,2020-03-17
review_184,product_129,customer_4588,1,2020-09-09
review_185,product_621,customer_3642,1,2020-07-25
review_186,product_73,customer_3259,2,2022-08-24
review_187,product_775,customer_4291,4,2020-02-29
review_188,product_432,customer_2033,2,2021-01-13
review_189,product_730,customer_4367,4,2021-09-16
review_190,product_567,customer_1435,5,2020-03-27
review_191,product_129,customer_4485,2,2022-03-21
review_192,product_872,customer_3712,3,2022-08-28
review_193,product_353,customer_2839,5,2020-10-13
review_194,product_913,customer_1053,3,2020-10-20
review_195,product_549,customer_1844,1,2022-10-16
review_196,product_379,customer_4350,3,2020-02-08
review_197,product_969,customer_695,3,2022-02-13
review_198,product_9,customer_2350,1,2021-01-03
review_199,product_750,customer_4102,1,2021-07-07
review_200,product_74,customer_1654,5,2020-02-09
review_201,product_861,customer_3066,2,2022-12-04
review_202,product_983,customer_3155,5,2022-09-21
review_203,product_56,customer_2863,2,2020-12-24
review_204,product_984,customer_1851,1,2021-02-01
review_205,product_367,customer_2542,4,2020-01-06
review_206,product_996,customer_4069,1,2020-09-27
review_207,product_767,customer_1681,1,2021-04-24
review_208,product_234,customer_4807,4,2021-09-05
review_209,product_360,customer_913,5,2021-12-02
review_210,product_473,customer_3858,2,2022-03-20
review_211,product_148,customer_4590,4,2020-12-25
review_212,product_703,customer_3073,2,2020-04-27
review_213,product_45,customer_2127,2,2022-08-26
review_214,product_395,customer_3665,4,2022-10-01
review_215,product_662,customer_1606,5,2021-01-25
review_216,product_447,customer_1168,2,2021-04-02
review_217,product_917,customer_2345,4,2022-09-29
review_218,product_88,customer_1528,3,2020-03-16
review_219,product_553,customer_3952,5,2021-05-06
review_220,product_317,customer_2353,2,2022-09-09
review_221,product_370,customer_350,2,2022-05-20
review_222,product_762,customer_789,2,2021-09-17
review_223,product_474,customer_4355,3,2022-08-05
review_224,product_759,customer_1212,3,2020-02-25
review_225,product_753,customer_4590,3,2020-10-20
review_226,product_587,customer_277,2,2020-06-01
review_227,product_744,customer_3205,2,2021-02-16
review_228,product_563,customer_465,2,2022-09-04
review_229,product_572,customer_3671,2,2020-09-20
review_230,product_155,customer_4115,4,2022-04-22
review_231,product_341,customer_787,2,2020-05-17
review_232,product_821,customer_3544,4,2021-01-30
review_233,product_601,customer_4093,5,2022-01-28
review_234,product_981,customer_2003,5,2020-12-03
review_235,product_543,customer_4071,4,2020-12-25
review_236,product_43,customer_1124,2,2020-09-20
review_237,product_124,customer_2686,4,2020-01-23
review_238,product_246,customer_1887,4,2022-12-08
review_239,product_820,customer_205,4,2020-07-29
review_240,product_139,customer_3900,5,2022-05-09
review_241,product_180,customer_2191,4,2020-09-06
review_242,product_50,customer_1644,5,2022-07-06
review_243,product_296,customer_1675,4,2020-09-27
review_244,product_997,customer_1764,1,2021-03-26
review_245,product_907,customer_77,2,2022-12-07
review_246,product_275,customer_3975,3,2021-03-18
review_247,product_874,customer_4495,1,2020-03-15
review_248,product_560,customer_4874,5,2021-01-23
review_249,product_817,customer_3820,3,2022-11-26
review_250,product_200,customer_4610,3,2020-05-09
review_251,product_483,customer_1850,1,2021-06-14
review_252,product_890,customer_2700,1,2022-06-11
review_253,product_661,customer_4932,1,2020-07-06
review_254,product_339,customer_39,3,2021-07-12
review_255,product_242,customer_2585,4,2021-07-11
review_256,product_953,customer_3493,1,2021-01-31
review_257,product_89,customer_1328,2,2021-04-29
review_258,product_277,customer_1808,3,2021-11-19
review_259,product_117,customer_1584,1,2021-06-06
review_260,product_491,customer_3081,5,2020-01-28
review_261,product_920,customer_2354,5,2020-10-14
review_262,product_329,customer_3002,4,2022-09-16
review_263,product_262,customer_1131,1,2020-03-11
review_264,product_95,customer_1214,1,2021-11-25
review_265,product_539,customer_2016,1,2020-01-11
review_266,product_871,customer_1744,5,2020-05-08
review_267,product_90,customer_1616,5,2022-06-28
review_268,product_103,customer_3498,1,2021-02-01
review_269,product_179,customer_88,3,2022-01-10
review_270,product_819,customer_662,5,2022-01-12
review_271,product_872,customer_2904,3,2020-10-24
review_272,product_991,customer_4401,5,2021-10-23
review_273,product_509,customer_115,4,2021-08-20
review_274,product_528,customer_4956,2,2022-12-25
review_275,product_873,customer_3860,4,2020-06-08
review_276,product_992,customer_3325,3,2021-07-03
review_277,product_345,customer_4281,4,2022-07-06
review_278,product_826,customer_813,2,2020-01-24
review_279,product_921,customer_1960,3,2022-08-03
review_280,product_395,customer_2777,3,2022-09-19
review_281,product_132,customer_4628,5,2022-12-24
review_282,product_144,customer_2385,1,2021-01-16
review_283,product_579,customer_1792,2,2022-03-31
review_284,product_514,customer_4834,4,2022-02-01
review_285,product_238,customer_3657,2,2020-07-08
review_286,product_292,customer_1680,3,2020-02-05
review_287,product_414,customer_2230,3,2021-03-13
review_288,product_888,customer_3948,2,2020-01-05
review_289,product_39,customer_1611,3,2021-03-04
review_290,product_944,customer_2941,2,2022-06-26
review_291,product_318,customer_2846,2,2021-10-09
review_292,product_982,customer_3215,3,2022-03-18
review_293,product_254,customer_2051,4,2020-12-20
review_294,product_984,customer_471,5,2021-05-15
review_295,product_519,customer_4773,3,2020-08-23
review_296,product_51,customer_2885,1,2020-08-04
review_297,product_991,customer_4781,1,2022-11-22
review_298,product_611,customer_2026,4,2022-10-14
review_299,product_180,customer_4281,2,2020-06-22
review_300,product_49,customer_44,4,2021-07-24
review_301,product_984,customer_2641,4,2022-07-13
review_302,product_820,customer_1240,1,2020-07-07
review_303,product_141,customer_280,4,2021-06-15
review_304,product_82,customer_3325,4,2022-11-10
review_305,product_79,customer_1246,2,2020-07-02
review_306,product_667,customer_241,4,2022-07-21
review_307,product_139,customer_1207,5,2021-11-24
review_308,product_597,customer_4064,5,2022-06-25
review_309,product_650,customer_152,2,2021-09-12
review_310,product_948,customer_1143,3,2021-03-25
review_311,product_456,customer_2940,1,2020-07-27
review_312,product_487,customer_1837,1,2021-08-17
review_313,product_601,customer_1599,5,2022-12-10
review_314,product_969,customer_911,2,2021-07-20
review_315,product_902,customer_3828,3,2021-07-24
review_316,product_700,customer_2533,3,2022-08-10
review_317,product_997,customer_4361,1,2021-07-29
review_318,product_92,customer_106,4,2021-10-23
review_319,product_690,customer_3441,3,2020-04-22
review_320,product_52,customer_103,3,2021-08-02
review_321,product_858,customer_401,3,2021-12-29
review_322,product_337,customer_1247,4,2020-11-04
review_323,product_566,customer_1769,4,2022-07-09
review_324,product_827,customer_1910,5,2021-06-27
review_325,product_344,customer_4921,5,2020-05-08
