order_item_id,order_id,product_id,quantity,price
566f59e5-d927-41fe-8648-6d37abfb6206,b43a9eae-b3c2-4522-9ccf-7e7e1146eaa3,4297d6f2-ba9c-4edb-9f89-414c67ce9a4a,7,34.22668065887636
99b6895e-61a5-407e-ad47-ca7bb130d6e8,6eea1eba-653d-4c9d-80fd-a3f708d7126b,15a311da-36fd-4110-9380-6a6d056f20de,3,27.364822671327925
8369e8bd-07ac-428a-894a-0c503ed1c24a,45f7f08e-77d3-43a8-8d65-8b2667b53d0d,a3dba193-f3e7-425e-92f9-54fcf7e72b0d,4,66.28140515701875
bc7bcbc4-ac58-4ccc-a7f9-48ce875c8698,58c0acec-5d47-4208-8ca1-d89b2236c2a4,59e7e3f2-e8bf-4531-b429-9ede38023449,10,41.149217239488294
2a68cc32-5a61-4dac-bac1-59c6106c22a9,ed4b0b31-a4a7-4b83-bce3-0badc4648bbe,e7d0bb2d-8ab0-4b21-ab72-429b01d9ef23,5,72.19678459684847
2fb496a9-e740-4e93-8e73-e05be03d33db,35862ca4-6047-40bc-8e62-e184fe52e059,2b07cd7b-333a-450c-a373-14bed9e3fc39,7,65.14167861674346
ab4182ac-f477-445e-bfcf-189b7271503a,cf29aebd-4c86-4aca-ac5e-6d13563d8d2c,8cf2ad2c-dc44-4486-a7a6-c1e8f394c787,10,18.117239489444486
ab7a8fcb-44f6-4dcd-8fb8-187d4f468300,a851136d-877b-45e3-b808-b1c83f6ec915,289699b5-a8fc-4a7d-8016-7472d642dbaa,10,91.10331300810513
6ade57ea-49d5-4923-842d-76b435a40c11,849532ab-2cfa-4e04-b15d-87b0800c76a2,dc2928bc-032f-444a-962f-40380dc7c091,9,39.08757448493549
233b5ae1-b43a-470c-84ac-87bda0199bf0,a0184c02-f078-4d35-b558-03910d94f177,ffaa4491-8f27-4d24-80e6-9c16765d67db,8,90.31522705973316
6258b5a6-12ed-4fd6-8449-d9f552fb2560,1cd688e7-eccd-4873-94e3-5723a03be6f5,cfdba091-efaf-4e3e-9d35-fe8878e22058,8,54.02311527056521
