payment_id,order_id,customer_id,amount,payment_method,payment_status,created_at
payment_0,order_0,customer_0,320.84042260764363,cash,success,2022-09-29
payment_1,order_1,customer_1,619.2459252428365,bank_transfer,success,2022-06-19
payment_2,order_2,customer_2,595.1139591798004,credit_card,success,2022-04-15
payment_3,order_3,customer_3,579.9372253761692,credit_card,refund,2022-10-25
payment_4,order_4,customer_4,678.6013335359078,paypal,success,2022-02-19
payment_5,order_5,customer_5,433.54381940023944,credit_card,success,2022-07-06
payment_6,order_6,customer_6,287.6594799370767,credit_card,success,2022-05-11
payment_7,order_7,customer_7,901.7257218948935,credit_card,success,2022-05-16
payment_8,order_8,customer_8,227.9965630749713,credit_card,success,2022-11-12
payment_9,order_9,customer_9,640.121338415642,credit_card,success,2022-02-28
payment_10,order_10,customer_10,700.4399680152695,credit_card,success,2022-08-27
payment_11,order_11,customer_11,37.00837948727648,credit_card,success,2022-07-30
payment_12,order_12,customer_12,631.1700370681408,credit_card,refund,2022-11-07
payment_13,order_13,customer_13,503.74937352126176,credit_card,success,2022-11-19
payment_14,order_14,customer_14,945.7014394506816,cash,success,2022-05-25
payment_15,order_15,customer_15,264.0810599357856,credit_card,success,2022-10-20
payment_16,order_16,customer_16,548.2039404686578,paypal,success,2022-02-10
payment_17,order_17,customer_17,425.96874288641385,cash,success,2022-04-28
payment_18,order_18,customer_18,912.3317208485704,paypal,success,2022-09-27
payment_19,order_19,customer_19,212.79124090335648,credit_card,success,2022-05-16
payment_20,order_20,customer_20,114.15225623827568,bank_transfer,refund,2022-07-04
payment_21,order_21,customer_21,83.22295152848294,credit_card,success,2022-01-22
payment_22,order_22,customer_22,305.02037213540376,credit_card,success,2022-01-04
payment_23,order_23,customer_23,420.4453167434669,cash,success,2022-02-15
payment_24,order_24,customer_24,788.6041674639484,credit_card,success,2022-01-18
payment_25,order_25,customer_25,227.50912648485522,bank_transfer,success,2022-08-05
payment_26,order_26,customer_26,804.5941869576641,credit_card,success,2022-06-02
payment_27,order_27,customer_27,295.3362212486378,credit_card,success,2022-11-18
payment_28,order_28,customer_28,284.29294791231104,credit_card,success,2022-07-19
payment_29,order_29,customer_29,204.9493561211016,credit_card,success,2022-12-26
payment_30,order_30,customer_30,427.6836119047447,paypal,success,2022-08-29
payment_31,order_31,customer_31,987.3620787401662,paypal,success,2022-09-02
payment_32,order_32,customer_32,791.108900177431,credit_card,success,2022-06-29
payment_33,order_33,customer_33,191.5386559708244,credit_card,success,2022-04-13
payment_34,order_34,customer_34,856.4814567829792,credit_card,success,2022-07-31
payment_35,order_35,customer_35,902.2982955365281,credit_card,success,2022-12-26
payment_36,order_36,customer_36,804.8322906421879,credit_card,success,2022-08-07
payment_37,order_37,customer_37,707.2049131947821,bank_transfer,failed,2022-05-18
payment_38,order_38,customer_38,79.55819958064943,credit_card,success,2022-02-22
payment_39,order_39,customer_39,780.1256010699825,cash,success,2022-09-16
payment_40,order_40,customer_40,785.8052677803604,credit_card,success,2022-01-01
payment_41,order_41,customer_41,570.3411606517836,credit_card,success,2022-11-19
payment_42,order_42,customer_42,400.36682759148937,paypal,success,2022-12-11
payment_43,order_43,customer_43,551.9986250677024,credit_card,success,2022-08-22
payment_44,order_44,customer_44,439.70129320727824,credit_card,success,2022-04-15
payment_45,order_45,customer_45,644.8519848346209,paypal,success,2022-01-18
payment_46,order_46,customer_46,923.7751762360554,credit_card,success,2022-08-27
payment_47,order_47,customer_47,868.7889194522127,credit_card,success,2022-09-14
payment_48,order_48,customer_48,895.9614385889638,bank_transfer,success,2022-10-13
payment_49,order_49,customer_49,222.36744888211337,credit_card,success,2022-06-24
payment_50,order_50,customer_50,182.20495398499472,bank_transfer,success,2022-07-23
payment_51,order_51,customer_51,46.78634163126249,credit_card,failed,2022-05-19
payment_52,order_52,customer_52,330.2426544548558,credit_card,refund,2022-07-13
payment_53,order_53,customer_53,978.3984869397023,paypal,success,2022-11-03
payment_54,order_54,customer_54,904.9202043125151,credit_card,success,2022-07-08
payment_55,order_55,customer_55,751.164676856595,paypal,success,2022-06-01
payment_56,order_56,customer_56,825.2024535019603,credit_card,success,2022-01-22
payment_57,order_57,customer_57,649.0236892567157,paypal,failed,2022-07-06
payment_58,order_58,customer_58,441.00650474647006,credit_card,success,2022-10-19
payment_59,order_59,customer_59,253.11517156912953,credit_card,success,2022-08-11
payment_60,order_60,customer_60,79.89596179904869,bank_transfer,success,2022-08-07
payment_61,order_61,customer_61,615.218792409612,credit_card,success,2022-03-24
payment_62,order_62,customer_62,565.266333203798,credit_card,success,2022-04-21
payment_63,order_63,customer_63,95.57431903032347,cash,success,2022-11-19
payment_64,order_64,customer_64,395.15798625131697,credit_card,refund,2022-05-09
payment_65,order_65,customer_65,427.3101600757815,credit_card,success,2022-09-15
